job_title,company_name,company_location,job_url
b'Senior Django / Python Developer',b'Divio Technologies AB',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/senior-django-python-developer-at-divio-technologies-ab-3590302538?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=7wiaSO9yCJNNQvlB2cdmUA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Developer with AWS (Remote)',b'AltaSoft Software Solutions SRL',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-with-aws-remote-at-altasoft-software-solutions-srl-3587118958?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=YddZwShBIayRuef9Q1K9fw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'JavaScript Developer',b'smart IoT',b'Germany',b'https://de.linkedin.com/jobs/view/javascript-developer-at-smart-iot-3589257075?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=4%2BE8MOv4ZjSXi31pK2jcUQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Web Developer (Python)',b'soft-park GmbH',"b'Hamburg, Hamburg, Germany'",b'https://de.linkedin.com/jobs/view/web-developer-python-at-soft-park-gmbh-3562278134?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=NSQlLCTlv0BXSspBoCSG%2Fw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Entwickler (m/w/d) - 100% remote m\xc3\xb6glich',b'Connecting Dots GmbH & Co. KG',b'Germany',b'https://de.linkedin.com/jobs/view/python-entwickler-m-w-d-100%25-remote-m%C3%B6glich-at-connecting-dots-gmbh-co-kg-3568148585?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=AXmZ0m69NMityVrAeu4LxQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Werkstudent Python Developer (m/w/d)',b'Maven360',"b'Munich, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/werkstudent-python-developer-m-w-d-at-maven360-3575913647?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=kPD90DFfvFsiK9ON1WnYtA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Senior Backend Engineer (m/f/d)',b'Y42',"b'Berlin, Germany'",b'https://de.linkedin.com/jobs/view/python-senior-backend-engineer-m-f-d-at-y42-3585539171?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=HOMBJwQ0oRMmrRtt7PklIw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Senior Python Engineer (f/m/x) Berlin',b'apryl',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/senior-python-engineer-f-m-x-berlin-at-apryl-3589824054?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=Wx%2B9NV9nMu1ncP8ZrSnebw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Solution Engineer (w/m/d)',b'ETAS',"b'Stuttgart, Baden-W\xc3\xbcrttemberg, Germany'",b'https://de.linkedin.com/jobs/view/solution-engineer-w-m-d-at-etas-3589816252?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=yO7q%2BCGgruP%2FEjmD730nBw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Trainee Data Engineer',b'si\xcb\x90kw\xc9\x99l \xe2\x80\x93 analytics engineering | sikwel GmbH',"b'Oldenburg, Lower Saxony, Germany'",b'https://de.linkedin.com/jobs/view/trainee-data-engineer-at-si%CB%90kw%C9%99l-%E2%80%93-analytics-engineering-sikwel-gmbh-3589264002?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=jUtNEX4CnOybtTRYclAiEg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'(Senior) QA Automation Engineer - Python with Selenium (gn)',b'MEDWING',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/senior-qa-automation-engineer-python-with-selenium-gn-at-medwing-3590346128?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=M8C0WviWVlg9muU7gFZTDA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Senior Python Developer',b'payabl.',"b'Frankfurt, Hesse, Germany'",b'https://de.linkedin.com/jobs/view/senior-python-developer-at-payabl-3580760916?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=uvDuLkQ11pzMHdRw5k6VoA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Data Analyst (m/w/d)',b'engineering people',"b'Frankfurt am Main, Hesse, Germany'",b'https://de.linkedin.com/jobs/view/junior-data-analyst-m-w-d-at-engineering-people-3591256705?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=9nRtxo77PXEcDq7ulojbwg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Prozesssoftwareentwickler Python / Ingenieur Elektrotechnik (m/w/d)',b'ibb Konstruktionsdienstleistungs GmbH',"b'Erlangen, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/prozesssoftwareentwickler-python-ingenieur-elektrotechnik-m-w-d-at-ibb-house-of-engineering-gmbh-3591943747?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=DiIa%2FQtIYXsQL8tFTY1SbQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Softwareentwickler (m/w/d) - Homeoffice / Remote',b'Zeitsprung Media GmbH',b'Germany',b'https://de.linkedin.com/jobs/view/junior-softwareentwickler-m-w-d-homeoffice-remote-at-zeitsprung-media-gmbh-3592025444?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=a%2Fnj4m02FnR2YYjIk7YA%2Fg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Software Developer (M/W/D)',b'Positive Thinking Company',"b'Heidelberg, Baden-W\xc3\xbcrttemberg, Germany'",b'https://de.linkedin.com/jobs/view/python-software-developer-m-w-d-at-positive-thinking-company-3569805247?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=v2fnjEaC5zeH6Xcdlyh1lw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'(Junior) Data Engineer (w/m/d)',b'WISAG',"b'Frankfurt am Main, Hesse, Germany'",b'https://de.linkedin.com/jobs/view/junior-data-engineer-w-m-d-at-wisag-3586571800?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=%2F4tYY4j4njYBW92HiM896g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Advanced SQM Software (m/f/d) - 228897BR',b'Continental',"b'Frankfurt, Hesse, Germany'",b'https://de.linkedin.com/jobs/view/advanced-sqm-software-m-f-d-228897br-at-continental-3588591465?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=VVOlakV6VJ1XrcWkPcguqA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'(Junior) Fullstack Developer (Java, Rust, Python, TypeScript) (m/w/d) #8109'",b'alphacoders',b'Germany',b'https://de.linkedin.com/jobs/view/junior-fullstack-developer-java-rust-python-typescript-m-w-d-%238109-at-alphacoders-3589816890?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=YNGS8NQIIkIXtEMZEEIHAA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Software Engineer - App Development (fulltime)',b'voize (YC W22)',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/software-engineer-app-development-fulltime-at-voize-yc-w22-3588705345?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=x9n2fL%2Bc0Tj%2BdZNZVr5NnQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Graduate Software Developer (Python)',b'Qdrant',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/graduate-software-developer-python-at-qdrant-3589271533?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=ZvL7mCCfEEAHCIZl44REdw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Praktikanten Entwicklungswerkstatt ab Juni 2023 (m/w/d)',b'Mercedes-AMG GmbH',"b'Stuttgart, Baden-W\xc3\xbcrttemberg, Germany'",b'https://de.linkedin.com/jobs/view/praktikanten-entwicklungswerkstatt-ab-juni-2023-m-w-d-at-mercedes-amg-gmbh-3591367990?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=G%2FMPCWreMi8K2Iioeien5g%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business Analyst',b'Integration Consulting',"b'Munich, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/business-analyst-at-integration-consulting-3590579133?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=6nsGlRD2pZ4pw9ZQBUQZNw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Developer London (Cryptocurrency Exchange)',b'Turn Block Talent',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-london-cryptocurrency-exchange-at-turn-block-talent-3587097993?refId=mZy5jHYtyd0yAq8KbU69Kw%3D%3D&trackingId=mZqBETguhGeQSyGWNuwMSA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card'
